text,category,sentiment,priority,cleaned_text
Why was I charged more than I expected Thank you in advance.,billing,neutral,high,charged expected thank advance
I can't update my credit card information Please help me.,billing,neutral,medium,update credit card information help
How does the cancellation policy work I am very frustrated.,product_inquiry,positive,medium,does cancellation policy work frustrated
I am considering switching to a competitor I have been waiting for days.,complaint,neutral,high,considering switching competitor waiting days
I have been waiting 10 days for a resolution This is urgent.,complaint,negative,urgent,waiting 10 days resolution urgent
I received the wrong item in my package,shipping,negative,medium,received wrong item package
Nobody is responding to my previous emails Please help me.,complaint,neutral,high,responding previous emails help
Is this service available in my country,product_inquiry,neutral,medium,service available country
How does the cancellation policy work I am very frustrated.,product_inquiry,positive,low,does cancellation policy work frustrated
My order has not arrived after 2 weeks I have been waiting for days.,shipping,negative,low,order arrived weeks waiting days
Overall great experience but the loading is a bit slow This is urgent.,feedback,positive,medium,overall great experience loading bit slow urgent
I have a suggestion for improving the checkout process,feedback,positive,low,suggestion improving checkout process
I received the wrong item in my package Thank you in advance.,shipping,negative,medium,received wrong item package thank advance
I want to exchange my item for a different size Can someone assist me?,returns,neutral,low,want exchange item different size assist
Do you have a free trial available,product_inquiry,neutral,low,free trial available
Can I expedite my shipping I am very frustrated.,shipping,negative,medium,expedite shipping frustrated
I am getting a server error when I try to submit Thank you in advance.,technical_support,neutral,medium,getting server error try submit thank advance
I am very unhappy with the service I received I am very frustrated.,complaint,negative,urgent,unhappy service received frustrated
How long will my order take to arrive Please help me.,shipping,negative,high,long order arrive help
How long do refunds take to process,returns,negative,low,long refunds process
How long will my order take to arrive Thank you in advance.,shipping,negative,medium,long order arrive thank advance
Why was I charged more than I expected Thank you in advance.,billing,negative,high,charged expected thank advance
I want to cancel my subscription and get a refund I am very frustrated.,billing,negative,medium,want cancel subscription refund frustrated
I want to delete my account and all my data Can someone assist me?,account,neutral,low,want delete account data assist
Would love to see monthly billing as an option,feedback,positive,low,love monthly billing option
This is the third time I have had this problem Can someone assist me?,complaint,negative,medium,time problem assist
The feature is not working as expected I have been waiting for days.,technical_support,neutral,urgent,feature working expected waiting days
My package was marked delivered but I did not receive it This is urgent.,shipping,negative,high,package marked delivered did receive urgent
I forgot my password and cannot reset it,account,neutral,low,forgot password reset
Can I use the product on multiple devices I am very frustrated.,product_inquiry,positive,low,use product multiple devices frustrated
The customer support team was incredibly helpful I have been waiting for days.,feedback,positive,medium,customer support team incredibly helpful waiting days
My data is not syncing between devices Please help me.,technical_support,neutral,medium,data syncing devices help
I received a defective product and need a replacement Can someone assist me?,returns,negative,low,received defective product need replacement assist
My account was hacked and I need help This is urgent.,account,neutral,high,account hacked need help urgent
The tracking number is not updating I am very frustrated.,shipping,neutral,high,tracking number updating frustrated
Please help me update my profile information I am very frustrated.,account,neutral,medium,help update profile information frustrated
I was charged twice for my subscription this month I have been waiting for days.,billing,negative,urgent,charged twice subscription month waiting days
What are the specifications of your premium plan I am very frustrated.,product_inquiry,positive,low,specifications premium plan frustrated
How do I initiate a return for a damaged item I have been waiting for days.,returns,neutral,medium,initiate return damaged item waiting days
How long will my order take to arrive Thank you in advance.,shipping,negative,medium,long order arrive thank advance
The feature is not working as expected,technical_support,neutral,high,feature working expected
I am considering switching to a competitor I am very frustrated.,complaint,negative,medium,considering switching competitor frustrated
The website is showing an error 500 Thank you in advance.,technical_support,neutral,medium,website showing error 500 thank advance
The feature is not working as expected I am very frustrated.,technical_support,neutral,medium,feature working expected frustrated
I think the mobile app needs a dark mode I have been waiting for days.,feedback,positive,low,think mobile app needs dark mode waiting days
I forgot my password and cannot reset it Please help me.,account,neutral,high,forgot password reset help
Can I expedite my shipping,shipping,negative,low,expedite shipping
Can I use the product on multiple devices I have been waiting for days.,product_inquiry,positive,medium,use product multiple devices waiting days
My return was rejected but the item was faulty I am very frustrated.,returns,negative,low,return rejected item faulty frustrated
How long do refunds take to process I am very frustrated.,returns,negative,low,long refunds process frustrated
I need to merge two accounts,account,neutral,high,need merge accounts
I cannot verify my email address This is urgent.,account,neutral,low,verify email address urgent
I need a refund for the duplicate charge Please help me.,billing,negative,high,need refund duplicate charge help
Would love to see monthly billing as an option This is urgent.,feedback,neutral,low,love monthly billing option urgent
The customer support team was incredibly helpful Please help me.,feedback,positive,low,customer support team incredibly helpful help
I received a defective product and need a replacement This is urgent.,returns,neutral,medium,received defective product need replacement urgent
I have a suggestion for improving the checkout process Please help me.,feedback,positive,medium,suggestion improving checkout process help
How long do refunds take to process Can someone assist me?,returns,neutral,low,long refunds process assist
I cannot log in to my account I have been waiting for days.,technical_support,neutral,medium,log account waiting days
Thank you for resolving my issue so quickly Please help me.,feedback,positive,medium,thank resolving issue quickly help
I am furious about how my case was handled Please help me.,complaint,negative,urgent,furious case handled help
The tracking number is not updating,shipping,negative,high,tracking number updating
The tracking number is not updating Can someone assist me?,shipping,negative,low,tracking number updating assist
The tracking number is not updating,shipping,negative,high,tracking number updating
I was charged twice for my subscription this month,billing,negative,urgent,charged twice subscription month
What are the specifications of your premium plan This is urgent.,product_inquiry,neutral,low,specifications premium plan urgent
My invoice shows an incorrect amount Please help me.,billing,neutral,medium,invoice shows incorrect help
My account was hacked and I need help I have been waiting for days.,account,neutral,medium,account hacked need help waiting days
I love the new interface you released this week Please help me.,feedback,positive,low,love new interface released week help
I can't update my credit card information Can someone assist me?,billing,negative,medium,update credit card information assist
Overall great experience but the loading is a bit slow I am very frustrated.,feedback,positive,low,overall great experience loading bit slow frustrated
Nobody is responding to my previous emails,complaint,negative,urgent,responding previous emails
Your agent was extremely rude and unhelpful I have been waiting for days.,complaint,neutral,medium,agent extremely rude unhelpful waiting days
My payment was declined but money left my account Can someone assist me?,billing,negative,medium,payment declined money left account assist
I want to exchange my item for a different size This is urgent.,returns,negative,medium,want exchange item different size urgent
Thank you for resolving my issue so quickly I have been waiting for days.,feedback,positive,low,thank resolving issue quickly waiting days
I am getting a server error when I try to submit I am very frustrated.,technical_support,neutral,medium,getting server error try submit frustrated
Can I use the product on multiple devices,product_inquiry,positive,medium,use product multiple devices
I cannot upload files through the platform I am very frustrated.,technical_support,neutral,urgent,upload files platform frustrated
How does the cancellation policy work I am very frustrated.,product_inquiry,positive,low,does cancellation policy work frustrated
I need to merge two accounts Please help me.,account,neutral,high,need merge accounts help
I cannot verify my email address I am very frustrated.,account,neutral,medium,verify email address frustrated
Your service has gone downhill significantly This is urgent.,complaint,negative,high,service gone downhill significantly urgent
Your platform is one of the best I have used,feedback,neutral,low,platform best used
I want to delete my account and all my data I have been waiting for days.,account,neutral,low,want delete account data waiting days
Overall great experience but the loading is a bit slow I am very frustrated.,feedback,positive,medium,overall great experience loading bit slow frustrated
I love the new interface you released this week I have been waiting for days.,feedback,positive,low,love new interface released week waiting days
The mobile app is very slow and keeps freezing This is urgent.,technical_support,neutral,medium,mobile app slow keeps freezing urgent
Thank you for resolving my issue so quickly Thank you in advance.,feedback,positive,low,thank resolving issue quickly thank advance
How do I initiate a return for a damaged item I have been waiting for days.,returns,negative,low,initiate return damaged item waiting days
Does this product come with a warranty Please help me.,product_inquiry,positive,low,does product come warranty help
I need to change my delivery address I have been waiting for days.,shipping,negative,high,need change delivery address waiting days
This is the third time I have had this problem Can someone assist me?,complaint,neutral,high,time problem assist
Nobody is responding to my previous emails I have been waiting for days.,complaint,negative,medium,responding previous emails waiting days
The customer support team was incredibly helpful Please help me.,feedback,positive,low,customer support team incredibly helpful help
Your platform is one of the best I have used Please help me.,feedback,positive,low,platform best used help
I think the mobile app needs a dark mode Can someone assist me?,feedback,neutral,low,think mobile app needs dark mode assist
I was charged twice for my subscription this month This is urgent.,billing,negative,urgent,charged twice subscription month urgent
Nobody is responding to my previous emails I am very frustrated.,complaint,neutral,urgent,responding previous emails frustrated
I need to merge two accounts Thank you in advance.,account,neutral,high,need merge accounts thank advance
The return window was missed due to shipping delays I am very frustrated.,returns,negative,low,return window missed shipping delays frustrated
I cannot verify my email address Can someone assist me?,account,neutral,high,verify email address assist
I am considering switching to a competitor Thank you in advance.,complaint,negative,high,considering switching competitor thank advance
My invoice shows an incorrect amount I have been waiting for days.,billing,negative,high,invoice shows incorrect waiting days
How do I initiate a return for a damaged item This is urgent.,returns,negative,low,initiate return damaged item urgent
Is this service available in my country I have been waiting for days.,product_inquiry,positive,low,service available country waiting days
The website is showing an error 500 I am very frustrated.,technical_support,neutral,urgent,website showing error 500 frustrated
I am considering switching to a competitor I am very frustrated.,complaint,negative,medium,considering switching competitor frustrated
Would love to see monthly billing as an option I have been waiting for days.,feedback,neutral,low,love monthly billing option waiting days
How long do refunds take to process I am very frustrated.,returns,negative,low,long refunds process frustrated
I am getting a server error when I try to submit,technical_support,neutral,medium,getting server error try submit
The return window was missed due to shipping delays Can someone assist me?,returns,negative,low,return window missed shipping delays assist
Does this product come with a warranty Thank you in advance.,product_inquiry,positive,medium,does product come warranty thank advance
I have not received my refund after 2 weeks I am very frustrated.,returns,neutral,low,received refund weeks frustrated
The mobile app is very slow and keeps freezing This is urgent.,technical_support,neutral,high,mobile app slow keeps freezing urgent
